"Summary","Issue Type","Priority","Description","Labels","Story Points"
"S1-001 Apply Platform DB Extension Migration","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: BE1
Scope:
- Add migration for `docs/DB_SCHEMA_PLATFORM_EXTENSION_V2.sql`.
- Ensure idempotent and reversible migration scripts.
- Validate index creation and foreign keys.
Acceptance Criteria:
- Migration applies successfully on clean and existing DB.
- Rollback script restores pre-migration state without orphan objects.
- Migration execution documented in runbook.","platform-rollout,sprint1_execution_issues,megaconvert","5"
"S1-002 Define and Enforce Event Envelope Standard","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: BE2
Scope:
- Introduce shared event schema with fields: `event_id`, `correlation_id`, `event_type`, `payload`, `ts`.
- Update event publishers (API + worker-facing producers) to use standard envelope.
- Add schema validation for event publish path.
Acceptance Criteria:
- All new emitted events match schema.
- Invalid envelope is rejected with clear error.
- Unit tests cover valid/invalid event payloads.","platform-rollout,sprint1_execution_issues,megaconvert","5"
"S1-003 Correlation ID Middleware for API","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: BE1
Scope:
- Add request middleware that accepts incoming `x-correlation-id` or generates new UUID.
- Attach correlation id to request context and structured logs.
- Return correlation id in response headers.
Acceptance Criteria:
- Every API request log contains `correlation_id`.
- Response includes `x-correlation-id`.
- Existing endpoints behavior unchanged.","platform-rollout,sprint1_execution_issues,megaconvert","3"
"S1-004 Correlation ID Propagation to Worker Jobs","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: BE2
Scope:
- Propagate correlation id from API job creation into queue payload.
- Ensure worker logs include same correlation id across job lifecycle.
Acceptance Criteria:
- One job traceable end-to-end by single correlation id.
- Worker logs and API logs can be joined by `correlation_id`.","platform-rollout,sprint1_execution_issues,megaconvert","3"
"S1-005 Base Repository Layer for Platform Tables","Task","High","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: BE1
Scope:
- Implement minimal repository methods for:
- `feature_flags`
- `experiments`
- `job_snapshots`
- `alerts_rules`
- `rate_limit_policies`
- Add basic CRUD/insertion operations used in later sprints.
Acceptance Criteria:
- Repositories covered by unit tests for happy path + not-found handling.
- No direct SQL usage outside repository for these entities in new code.","platform-rollout,sprint1_execution_issues,megaconvert","5"
"S1-006 Admin Navigation Placeholders (Flags/Experiments/Health)","Task","High","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: FE1
Scope:
- Add left-nav entries in admin SPA:
- Feature Flags
- Experiments
- System Health
- Add placeholder pages with loading/error empty states.
Acceptance Criteria:
- Routes open without 404.
- Navigation works on desktop and mobile breakpoints.
- Placeholder pages are RBAC-protected.","platform-rollout,sprint1_execution_issues,megaconvert","3"
"S1-007 Shared Admin API Client Contracts (Type Stubs)","Task","High","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: FE1
Scope:
- Add typed client interfaces for upcoming endpoints:
- `/admin/flags`
- `/admin/experiments`
- `/admin/alerts/*`
- `/admin/synthetic/*`
- Add response and error types for consistent UI handling.
Acceptance Criteria:
- Types compile and are imported by placeholder pages.
- No `any` usage for new admin platform payloads.","platform-rollout,sprint1_execution_issues,megaconvert","3"
"S1-008 Provision Env/Secrets for Platform Foundation","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: SRE1
Scope:
- Add environment variables and secret placeholders for platform services.
- Update deployment config templates for all environments.
- Document secure secret rotation path.
Acceptance Criteria:
- Dev/staging/prod config keys defined and versioned in templates.
- Secrets are not committed in plaintext.","platform-rollout,sprint1_execution_issues,megaconvert","3"
"S1-009 Migration Runbook and Rollback Procedure","Task","High","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: SRE1
Scope:
- Write step-by-step migration runbook with prechecks/postchecks.
- Include rollback flow and safety conditions.
Acceptance Criteria:
- Runbook can be executed by on-call without tribal knowledge.
- Includes explicit verification SQL checks.","platform-rollout,sprint1_execution_issues,megaconvert","2"
"S1-010 QA Foundation Validation Pack","Task","Highest","Source: docs/SPRINT1_EXECUTION_ISSUES.md
Owner: QA1
Scope:
- Validate no regressions in critical flow `upload -> convert -> download`.
- Validate correlation id presence across API and worker logs.
- Execute pre-release smoke subset for routes and core actions.
Acceptance Criteria:
- Core conversion path passes.
- Correlation id trace collected for at least one successful and one failed job.
- QA report attached with pass/fail and blockers.
- Backend total: `16 SP`
- Frontend total: `6 SP`
- QA total: `5 SP`
- SRE total: `5 SP`
- Total: `32 SP`
- All `P0` issues completed.
- No blocker regression in conversion flow.
- Migration and rollback tested in staging.
- Correlation id visible in logs for API + worker.","platform-rollout,sprint1_execution_issues,megaconvert","5"
"S2-001 Feature Flags CRUD API (Admin)","Task","Highest","Source: docs/SPRINT2_EXECUTION_ISSUES.md
Owner: BE1
Scope:
- Implement endpoints:
- `GET /admin/flags`
- `POST /admin/flags`
- `PATCH /admin/flags/:id`
- `DELETE /admin/flags/:id`
- Support environment scoping and rollout percentage.
- Validate payloads and prevent duplicate flag keys.
Acceptance Criteria:
- CRUD operations pass integration tests.
- Invalid payload returns validation errors with stable format.
- Deleted flags are not returned by list endpoint.","platform-rollout,sprint2_execution_issues,megaconvert","5"
